2026-09-21 14:51:37,658 - Model=LightGBM | Resp=oks | Time=10.81s
2026-09-21 14:51:38,867 - Model=DecisionTreeRegressor (DT) | Resp=oks | Time=1.21s
2026-09-21 14:51:41,032 - Model=SVR | Resp=oks | Time=2.16s
2026-09-21 14:52:05,301 - Model=XGBoost | Resp=oks | Time=24.27s
2026-09-21 14:52:29,982 - Model=CatBoost | Resp=oks | Time=24.68s
2026-09-21 14:52:40,738 - Model=LightGBM | Resp=oks | Time=10.76s
2026-09-21 14:52:41,915 - Model=DecisionTreeRegressor (DT) | Resp=oks | Time=1.18s
2026-09-21 14:52:44,107 - Model=SVR | Resp=oks | Time=2.19s
2026-09-21 14:53:07,483 - Model=XGBoost | Resp=oks | Time=23.37s
2026-09-21 14:53:32,368 - Model=CatBoost | Resp=oks | Time=24.88s
2026-09-21 14:53:44,064 - Model=LightGBM | Resp=oks | Time=11.70s
2026-09-21 14:53:45,268 - Model=DecisionTreeRegressor (DT) | Resp=oks | Time=1.20s
2026-09-21 14:53:47,459 - Model=SVR | Resp=oks | Time=2.19s
2026-09-21 14:54:10,845 - Model=XGBoost | Resp=oks | Time=23.38s
2026-09-21 14:54:36,136 - Model=CatBoost | Resp=oks | Time=25.29s
2026-09-21 14:54:46,982 - Model=LightGBM | Resp=oks | Time=10.85s
2026-09-21 14:54:48,185 - Model=DecisionTreeRegressor (DT) | Resp=oks | Time=1.20s
2026-09-21 14:54:50,362 - Model=SVR | Resp=oks | Time=2.18s
2026-09-21 14:55:12,484 - Model=XGBoost | Resp=oks | Time=22.12s
2026-09-21 14:55:36,945 - Model=CatBoost | Resp=oks | Time=24.46s
2026-09-21 14:55:47,314 - Model=LightGBM | Resp=oks | Time=10.37s
2026-09-21 14:55:48,498 - Model=DecisionTreeRegressor (DT) | Resp=oks | Time=1.18s
2026-09-21 14:55:50,664 - Model=SVR | Resp=oks | Time=2.17s
2026-09-21 14:56:13,120 - Model=XGBoost | Resp=oks | Time=22.45s
2026-09-21 14:56:39,811 - Model=CatBoost | Resp=oks | Time=26.69s
2026-09-21 14:56:51,515 - Model=LightGBM | Resp=oks | Time=11.70s
2026-09-21 14:56:52,678 - Model=DecisionTreeRegressor (DT) | Resp=oks | Time=1.16s
2026-09-21 14:56:54,847 - Model=SVR | Resp=oks | Time=2.17s
2026-09-21 14:57:16,966 - Model=XGBoost | Resp=oks | Time=22.12s
2026-09-21 14:57:42,076 - Model=CatBoost | Resp=oks | Time=25.11s
2026-09-21 14:57:54,246 - Model=LightGBM | Resp=oks | Time=12.17s
2026-09-21 14:57:55,408 - Model=DecisionTreeRegressor (DT) | Resp=oks | Time=1.16s
2026-09-21 14:57:57,586 - Model=SVR | Resp=oks | Time=2.18s
2026-09-21 14:58:23,200 - Model=XGBoost | Resp=oks | Time=25.61s
2026-09-21 14:58:48,537 - Model=CatBoost | Resp=oks | Time=25.34s
2026-09-21 14:59:01,634 - Model=LightGBM | Resp=oks | Time=13.10s
2026-09-21 14:59:02,823 - Model=DecisionTreeRegressor (DT) | Resp=oks | Time=1.19s
2026-09-21 14:59:04,992 - Model=SVR | Resp=oks | Time=2.17s
2026-09-21 14:59:29,767 - Model=XGBoost | Resp=oks | Time=24.77s
2026-09-21 14:59:54,972 - Model=CatBoost | Resp=oks | Time=25.20s
2026-09-21 15:00:06,978 - Model=LightGBM | Resp=oks | Time=12.01s
2026-09-21 15:00:08,173 - Model=DecisionTreeRegressor (DT) | Resp=oks | Time=1.19s
2026-09-21 15:00:10,343 - Model=SVR | Resp=oks | Time=2.17s
2026-09-21 15:00:31,460 - Model=XGBoost | Resp=ohs | Time=21.10s
2026-09-21 15:00:53,216 - Model=CatBoost | Resp=ohs | Time=21.76s
2026-09-21 15:01:03,967 - Model=LightGBM | Resp=ohs | Time=10.75s
2026-09-21 15:01:05,205 - Model=DecisionTreeRegressor (DT) | Resp=ohs | Time=1.24s
2026-09-21 15:01:07,404 - Model=SVR | Resp=ohs | Time=2.20s
2026-09-21 15:01:31,563 - Model=XGBoost | Resp=ohs | Time=24.15s
2026-09-21 15:01:54,708 - Model=CatBoost | Resp=ohs | Time=23.14s
2026-09-21 15:02:06,089 - Model=LightGBM | Resp=ohs | Time=11.38s
2026-09-21 15:02:07,291 - Model=DecisionTreeRegressor (DT) | Resp=ohs | Time=1.20s
2026-09-21 15:02:09,501 - Model=SVR | Resp=ohs | Time=2.21s
2026-09-21 15:02:32,661 - Model=XGBoost | Resp=ohs | Time=23.15s
2026-09-21 15:02:56,337 - Model=CatBoost | Resp=ohs | Time=23.67s
2026-09-21 15:03:07,476 - Model=LightGBM | Resp=ohs | Time=11.14s
2026-09-21 15:03:08,699 - Model=DecisionTreeRegressor (DT) | Resp=ohs | Time=1.22s
2026-09-21 15:03:10,921 - Model=SVR | Resp=ohs | Time=2.22s
2026-09-21 15:03:34,516 - Model=XGBoost | Resp=ohs | Time=23.59s
2026-09-21 15:03:59,037 - Model=CatBoost | Resp=ohs | Time=24.52s
2026-09-21 15:04:10,218 - Model=LightGBM | Resp=ohs | Time=11.18s
2026-09-21 15:04:11,435 - Model=DecisionTreeRegressor (DT) | Resp=ohs | Time=1.22s
2026-09-21 15:04:13,629 - Model=SVR | Resp=ohs | Time=2.19s
2026-09-21 15:04:36,601 - Model=XGBoost | Resp=ohs | Time=22.97s
2026-09-21 15:04:59,587 - Model=CatBoost | Resp=ohs | Time=22.98s
2026-09-21 15:05:09,769 - Model=LightGBM | Resp=ohs | Time=10.18s
2026-09-21 15:05:10,972 - Model=DecisionTreeRegressor (DT) | Resp=ohs | Time=1.20s
2026-09-21 15:05:13,168 - Model=SVR | Resp=ohs | Time=2.20s
2026-09-21 15:05:35,410 - Model=XGBoost | Resp=ohs | Time=22.24s
2026-09-21 15:05:58,414 - Model=CatBoost | Resp=ohs | Time=23.00s
2026-09-21 15:06:08,899 - Model=LightGBM | Resp=ohs | Time=10.49s
2026-09-21 15:06:10,118 - Model=DecisionTreeRegressor (DT) | Resp=ohs | Time=1.22s
2026-09-21 15:06:12,329 - Model=SVR | Resp=ohs | Time=2.21s
2026-09-21 15:06:35,342 - Model=XGBoost | Resp=ohs | Time=23.01s
2026-09-21 15:06:59,763 - Model=CatBoost | Resp=ohs | Time=24.42s
2026-09-21 15:07:10,145 - Model=LightGBM | Resp=ohs | Time=10.38s
2026-09-21 15:07:11,363 - Model=DecisionTreeRegressor (DT) | Resp=ohs | Time=1.22s
2026-09-21 15:07:13,576 - Model=SVR | Resp=ohs | Time=2.21s
2026-09-21 15:07:36,748 - Model=XGBoost | Resp=ohs | Time=23.17s
2026-09-21 15:08:01,352 - Model=CatBoost | Resp=ohs | Time=24.60s
2026-09-21 15:08:12,200 - Model=LightGBM | Resp=ohs | Time=10.85s
2026-09-21 15:08:13,535 - Model=DecisionTreeRegressor (DT) | Resp=ohs | Time=1.33s
2026-09-21 15:08:15,729 - Model=SVR | Resp=ohs | Time=2.19s
2026-09-21 15:08:38,288 - Model=XGBoost | Resp=ohs | Time=22.56s
2026-09-21 15:09:02,756 - Model=CatBoost | Resp=ohs | Time=24.47s
2026-09-21 15:09:13,362 - Model=LightGBM | Resp=ohs | Time=10.61s
2026-09-21 15:09:14,623 - Model=DecisionTreeRegressor (DT) | Resp=ohs | Time=1.26s
2026-09-21 15:09:16,846 - Model=SVR | Resp=ohs | Time=2.22s
2026-09-21 15:09:40,435 - Model=XGBoost | Resp=ohs | Time=23.59s
2026-09-21 15:10:05,249 - Model=CatBoost | Resp=ohs | Time=24.81s
2026-09-21 15:10:15,849 - Model=LightGBM | Resp=ohs | Time=10.60s
2026-09-21 15:10:17,091 - Model=DecisionTreeRegressor (DT) | Resp=ohs | Time=1.24s
2026-09-21 15:10:19,313 - Model=SVR | Resp=ohs | Time=2.22s
2026-09-21 15:10:43,619 - Model=XGBoost | Resp=ohs | Time=24.30s
2026-09-21 15:11:09,020 - Model=CatBoost | Resp=ohs | Time=25.40s
2026-09-21 15:11:19,469 - Model=LightGBM | Resp=ohs | Time=10.45s
2026-09-21 15:11:20,660 - Model=DecisionTreeRegressor (DT) | Resp=ohs | Time=1.19s
2026-09-21 15:11:22,862 - Model=SVR | Resp=ohs | Time=2.20s
2026-09-21 15:11:45,786 - Model=XGBoost | Resp=ohs | Time=22.92s
2026-09-21 15:12:10,454 - Model=CatBoost | Resp=ohs | Time=24.67s
2026-09-21 15:12:21,602 - Model=LightGBM | Resp=ohs | Time=11.15s
2026-09-21 15:12:22,806 - Model=DecisionTreeRegressor (DT) | Resp=ohs | Time=1.20s
2026-09-21 15:12:25,010 - Model=SVR | Resp=ohs | Time=2.20s
2026-09-21 15:12:48,075 - Model=XGBoost | Resp=ohs | Time=23.06s
2026-09-21 15:13:12,917 - Model=CatBoost | Resp=ohs | Time=24.84s
2026-09-21 15:13:24,210 - Model=LightGBM | Resp=ohs | Time=11.29s
2026-09-21 15:13:25,408 - Model=DecisionTreeRegressor (DT) | Resp=ohs | Time=1.20s
2026-09-21 15:13:27,616 - Model=SVR | Resp=ohs | Time=2.21s
2026-09-21 15:13:49,346 - Model=XGBoost | Resp=ohs | Time=21.73s
2026-09-21 15:14:14,334 - Model=CatBoost | Resp=ohs | Time=24.99s
2026-09-21 15:14:25,039 - Model=LightGBM | Resp=ohs | Time=10.71s
2026-09-21 15:14:26,235 - Model=DecisionTreeRegressor (DT) | Resp=ohs | Time=1.20s
2026-09-21 15:14:28,453 - Model=SVR | Resp=ohs | Time=2.22s
2026-09-21 15:14:50,986 - Model=XGBoost | Resp=ohs | Time=22.53s
2026-09-21 15:15:16,966 - Model=CatBoost | Resp=ohs | Time=25.98s
2026-09-21 15:15:26,990 - Model=LightGBM | Resp=ohs | Time=10.02s
2026-09-21 15:15:28,199 - Model=DecisionTreeRegressor (DT) | Resp=ohs | Time=1.21s
2026-09-21 15:15:30,399 - Model=SVR | Resp=ohs | Time=2.20s
2026-09-21 15:15:53,001 - Model=XGBoost | Resp=ohs | Time=22.60s
2026-09-21 15:16:17,903 - Model=CatBoost | Resp=ohs | Time=24.90s
2026-09-21 15:16:28,314 - Model=LightGBM | Resp=ohs | Time=10.41s
